step,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
11,0.05331514266549853,-0.0011557198483977845,-0.0011548221106134906,0.00016412547360714733,-2.4202403522853257e-05,8.406463146446168e-05,3.0999458326256693e-05,0.00012175783879964046,2.3873737819703456e-05,-5.370683933152946e-07,-2.6291074150960034e-06,0.00048487934917370294
12,0.07545939446598479,-0.0016461312244325744,-0.0016449685363872275,0.00013734417573617989,-2.104060256293286e-05,9.186970946056775e-05,2.7332656088344177e-05,0.00010073015611629613,2.0349502141352517e-05,-5.08271324109076e-07,-3.7011450691593696e-06,0.00045086905551640393
13,0.10520850939379321,-0.002238827153574351,-0.0022373691904499053,0.00011324331373623208,-1.801562847488423e-05,0.00010679107118106326,2.360566803348298e-05,8.339967117654653e-05,1.6865955653402934e-05,-4.6603326375977837e-07,-4.995824986085521e-06,0.0004158205320076828
14,0.14274749594157887,-0.0028177633253624653,-0.0028160225866052527,9.11299064776813e-05,-1.5114136358414966e-05,0.00012833921953662439,1.9946716723036045e-05,6.937168616648859e-05,1.351022736485593e-05,-4.11833856662421e-07,-6.45117491214919e-06,0.00037876393622987927
15,0.1853892070639694,-0.003152756198336804,-0.003150817954747551,7.104743015972023e-05,-1.2388207282634004e-05,0.0001542028025544102,1.6694371149152268e-05,5.865616184749477e-05,1.0618367605033621e-05,-3.621221297718574e-07,-7.85347000100447e-06,0.00034099274413465903
16,0.227157544956581,-0.003070404577452062,-0.0030684151094742588,5.390878783343261e-05,-9.950313457007371e-06,0.0001793047990728309,1.428332662113521e-05,5.141375370150633e-05,8.678002888483334e-06,-3.479193475702922e-07,-8.859896787280721e-06,0.0003077341748271295
17,0.26192415999023255,-0.002701476499595047,-0.0026995783830063014,4.0535307623049054e-05,-7.854849204351129e-06,0.00019840138898187502,1.284384221442228e-05,4.7342377396231956e-05,7.807420783062978e-06,-3.8457621110461004e-07,-9.307198789504505e-06,0.00028469998121313816
18,0.2871892932262449,-0.0023339160406722578,-0.0023321991962353458,3.071454542904915e-05,-6.06548681501964e-06,0.00021047690477469171,1.215509295224313e-05,4.563491393071283e-05,7.6079583294621e-06,-4.5717433286943485e-07,-9.39060139897619e-06,0.0002723790358888194
19,0.3039619610377579,-0.0021148983779772264,-0.0021133997912323775,2.359009412901473e-05,-4.540217156812333e-06,0.00021793164493822724,1.1943373746394633e-05,4.5485616445317456e-05,7.660288681751799e-06,-5.421401442358708e-07,-9.36783485538933e-06,0.00026723736909243335
20,0.31451809832079447,-0.0020417523055785685,-0.002040474357030231,1.8338242491367917e-05,-3.2551307476057508e-06,0.00022309455648188644,1.202004515605852e-05,4.6333330691430956e-05,7.772201065568769e-06,-6.247330095818155e-07,-9.354837162552587e-06,0.0002659357817930973
