step,stage,Ez_V_per_m,dmax_final,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz,P_C_per_m2
0,Ez0_before,0.0,9.722495052530422e-06,0.38223013654445154,0.002863802746981301,0.0007549472059397198,0.159816124427631,-0.011013379697451444,0.1608810478332235,0.0016679583594396905,0.2303547939204627,-0.0004184586294914628,-0.003232172041020115,0.001689979496118823,0.1319220042316533,-0.23745960761697593
1,Ez0_before,0.0,9.505293002920467e-06,0.3822301304945206,0.0028638057094142744,0.000754947564628133,0.1598162149075833,-0.011013370364578287,0.16088114769780773,0.001667960271171087,0.23035482342139593,-0.0004184569428117987,-0.0032321731829050076,0.0016899752491588373,0.13192211363913023,-0.23745980455043442
2,Ez0_before,0.0,9.292963349838423e-06,0.3822301244793538,0.002863808658378162,0.0007549479236782259,0.15981630498399774,-0.011013361074517107,0.16088124710001267,0.0016679621728508348,0.23035485280280832,-0.0004184552572409645,-0.0032321743205504087,0.001689971016035673,0.13192222250752458,-0.23746000051354427
3,Ez0_before,0.0,9.08539902610972e-06,0.382230118498399,0.002863811593756158,0.0007549482829071217,0.15981639465265474,-0.011013351827587156,0.1608813460373575,0.0016679640645470447,0.23035488206201715,-0.00041845357346510456,-0.0032321754538131233,0.0016899667973829567,0.13192233079727161,-0.23746019543508892
4,Ez0_before,0.0,8.882493941056446e-06,0.3822301125518376,0.0028638145155772173,0.0007549486418318702,0.15981648390848313,-0.011013342624155095,0.1608814444956403,0.0016679659462932926,0.2303549111973585,-0.0004184518916121496,-0.0032321765826076603,0.0016899625940385368,0.13192243856816344,-0.23746038942269418
5,Ez0_before,0.0,8.684146380277813e-06,0.3822301066389515,0.002863817423397843,0.000754949000770845,0.159816572746817,-0.011013333464708046,0.1608815424856927,0.00166796781801439,0.23035494020549438,-0.0004184502128663357,-0.0032321777067557305,0.001689958406241789,0.13192254581105758,-0.23746058245990365
6,Ez0_before,0.0,8.490256262067009e-06,0.3822301007589094,0.0028638203172830865,0.0007549493595351781,0.15981666116701243,-0.011013324349199327,0.1608816400076083,0.0016679696798916528,0.23035496908472208,-0.00041844853774493276,-0.003232178826165737,0.001689954234437972,0.13192265252678712,-0.23746077454821682
7,Ez0_before,0.0,8.300725404614129e-06,0.38223009491099846,0.0028638231972802006,0.000754949717941984,0.15981674916863697,-0.011013315277569428,0.16088173706140646,0.0016679715320742118,0.23035499783373964,-0.0004184468666994856,-0.0032321799407571935,0.0016899500790269564,0.13192275871795642,-0.23746096569232156
8,Ez0_before,0.0,8.115457608454113e-06,0.38223008909459666,0.0028638260634167075,0.0007549500758388858,0.15981683675146544,-0.011013306249750342,0.16088183364769099,0.0016679733746850236,0.23035502645150707,-0.00041844520015004257,-0.00323218105045969,0.0016899459403540047,0.13192286438797513,-0.23746115589835523
9,Ez0_before,0.0,7.934358674868691e-06,0.38223008330913777,0.0028638289157175267,0.0007549504330973601,0.1598169239156048,-0.01101329726564974,0.1608819297676125,0.0016679752078348137,0.23035505493721203,-0.0004184435384839352,-0.003232182155213952,0.0016899418187150527,0.13192296954078284,-0.2374613451734091
