step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
138,1035000000.0,0.13550044144860063,-0.24390079460748113
139,1042500000.0,0.1342811706895989,-0.24170610724127806
140,1050000000.0,0.13305968912566746,-0.23950744042620142
141,1057500000.0,0.13182563894279256,-0.2372861500970266
142,1065000000.0,0.13059496112314511,-0.2350709300216612
143,1072500000.0,0.1293618311273153,-0.23285129602916757
144,1080000000.0,0.12811575308507592,-0.23060835555313666
145,1087500000.0,0.12687231695659987,-0.22837017052187977
146,1095000000.0,0.12562550553431273,-0.22612590996176293
147,1102500000.0,0.12436455994629948,-0.22385620790333907
148,1110000000.0,0.12310472519283307,-0.22158850534709953
149,1117500000.0,0.12183066276945877,-0.21929519298502578
150,1125000000.0,0.12055629862496144,-0.2170013375249306
151,1132500000.0,0.11926585845664649,-0.21467854522196367
152,1140000000.0,0.11797286015546443,-0.21235114827983598
153,1147500000.0,0.11666110316798269,-0.20998998570236885
154,1155000000.0,0.11533467802603127,-0.20760242044685628
155,1162500000.0,0.11399283285739707,-0.20518709914331473
156,1170000000.0,0.11263345203790862,-0.20274021366823552
157,1177500000.0,0.11125376074776175,-0.20025676934597114
158,1185000000.0,0.10984147381857581,-0.19771465287343648
159,1192500000.0,0.108408232754376,-0.1951348189578768
160,1200000000.0,0.10693464335331081,-0.19248235803595945
161,1207500000.0,0.10541999892823824,-0.18975599807082882
162,1215000000.0,0.10384835278526448,-0.18692703501347607
163,1222500000.0,0.10221600248034712,-0.18398880446462482
164,1230000000.0,0.10049172746991933,-0.18088510944585479
165,1237500000.0,0.09866831983070236,-0.17760297569526426
166,1245000000.0,0.09668955364342763,-0.17404119655816974
167,1252500000.0,0.09449562194745607,-0.17009211950542094
168,1260000000.0,0.09193530125531252,-0.16548354225956255
169,1267500000.0,0.08858259426898524,-0.15944866968417343
170,1275000000.0,0.07677595520930051,-0.13819671937674094
171,1282500000.0,-0.33875241913181153,0.6097543544372608
172,1290000000.0,-0.3394540239217119,0.6110172430590814
173,1297500000.0,-0.34017407201333494,0.6123133296240029
174,1305000000.0,-0.3408917005124262,0.6136050609223671
175,1312500000.0,-0.34161233094765037,0.6149021957057706
176,1320000000.0,-0.34233704383788477,0.6162066789081926
177,1327500000.0,-0.3430661127161146,0.6175190028890063
178,1335000000.0,-0.343809028652609,0.6188562515746961
179,1342500000.0,-0.344549040560926,0.6201882730096668
180,1350000000.0,-0.3452923561181199,0.6215262410126159
181,1357500000.0,-0.3460401883086874,0.6228723389556373
182,1365000000.0,-0.3467928414095096,0.6242271145371173
183,1372500000.0,-0.3475504543723214,0.6255908178701786
184,1380000000.0,-0.3483225908873997,0.6269806635973195
185,1387500000.0,-0.3490923647778729,0.6283662566001713
186,1395000000.0,-0.3498660545395356,0.6297588981711641
187,1402500000.0,-0.3506448965053836,0.6311608137096905
188,1410000000.0,-0.351429213847869,0.6325725849261642
189,1417500000.0,-0.35222864194995096,0.6340115555099117
190,1425000000.0,-0.35302627559665284,0.6354472960739751
191,1432500000.0,-0.3538284374737703,0.6368911874527865
192,1440000000.0,-0.35463637928541947,0.638345482713755
193,1447500000.0,-0.355459851905783,0.6398277334304094
194,1455000000.0,-0.35628210786640396,0.6413077941595271
195,1462500000.0,-0.35710947615753097,0.6427970570835557
196,1470000000.0,-0.35794321023144166,0.644297778416595
197,1477500000.0,-0.35879307388832044,0.6458275329989768
198,1485000000.0,-0.3596423403533474,0.6473562126360254
199,1492500000.0,-0.36049736917862507,0.6488952645215251
200,1500000000.0,-0.36135942950013455,0.6504469731002422
201,1492500000.0,-0.3608053499073547,0.6494496298332385
202,1485000000.0,-0.3599482518688984,0.6479068533640171
203,1477500000.0,-0.3590931483566754,0.6463676670420158
204,1470000000.0,-0.35825367974798694,0.6448566235463765
205,1462500000.0,-0.3574133287700035,0.6433439917860063
206,1455000000.0,-0.35657839097978905,0.6418411037636204
207,1447500000.0,-0.3557499400757862,0.6403498921364151
208,1440000000.0,-0.3549374146962182,0.6388873464531928
209,1432500000.0,-0.354123571178479,0.6374224281212622
210,1425000000.0,-0.35331454640306137,0.6359661835255105
211,1417500000.0,-0.352511410633885,0.634520539140993
212,1410000000.0,-0.35171425574847415,0.6330856603472534
213,1402500000.0,-0.3509322456743537,0.6316780422138367
214,1395000000.0,-0.35014834134632433,0.6302670144233838
215,1387500000.0,-0.34936860456112173,0.6288634882100191
216,1380000000.0,-0.3485941104314339,0.627469398776581
217,1372500000.0,-0.347824968828518,0.6260849438913324
218,1365000000.0,-0.3470703383890275,0.6247266091002496
219,1357500000.0,-0.3463132732047777,0.6233638917686
220,1350000000.0,-0.3455597979540853,0.6220076363173536
221,1342500000.0,-0.34481100526364344,0.6206598094745582
222,1335000000.0,-0.3440670238553262,0.6193206429395872
223,1327500000.0,-0.3433370846271883,0.618006752328939
224,1320000000.0,-0.34260419722930485,0.6166875550127487
225,1312500000.0,-0.3418743790587548,0.6153738823057586
226,1305000000.0,-0.341148751872422,0.6140677533703596
227,1297500000.0,-0.34042746473788427,0.6127694365281917
228,1290000000.0,-0.3397104767907613,0.6114788582233703
229,1282500000.0,-0.3390069994206975,0.6102125989572555
230,1275000000.0,-0.3383000866240811,0.608940155923346
231,1267500000.0,-0.33759571731288546,0.6076722911631939
232,1260000000.0,-0.33689503249334624,0.6064110584880232
233,1252500000.0,-0.3361981988107441,0.6051567578593394
234,1245000000.0,-0.33550518946070684,0.6039093410292723
235,1237500000.0,-0.3348159407458133,0.6026686933424639
236,1230000000.0,-0.3341396445461459,0.6014513601830627
237,1222500000.0,-0.33345017270791827,0.6002103108742529
238,1215000000.0,-0.3327794357850938,0.5990029844131688
239,1207500000.0,-0.33210593727760823,0.5977906870996949
240,1200000000.0,-0.33143461362463433,0.5965823045243418
241,1192500000.0,-0.33076640427463266,0.5953795276943388
242,1185000000.0,-0.3301014469377417,0.594182604487935
243,1177500000.0,-0.3294397203808385,0.5929914966855093
244,1170000000.0,-0.3287811729634504,0.5918061113342107
245,1162500000.0,-0.3281348775315318,0.5906427795567573
246,1155000000.0,-0.32748426665982694,0.5894716799876885
247,1147500000.0,-0.32683515510037187,0.5883032791806694
