step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
0,0.0,0.1319220042316533,-0.23745960761697593
1,7500000.0,0.1315042159541892,-0.23670758871754058
2,15000000.0,0.1309695276099032,-0.23574514969782578
3,22500000.0,0.13038883737357526,-0.23469990727243548
4,30000000.0,0.12984295239051313,-0.23371731430292364
5,37500000.0,0.12930741209944713,-0.23275334177900484
6,45000000.0,0.1287749765216846,-0.23179495773903228
7,52500000.0,0.12824002690180658,-0.23083204842325186
8,60000000.0,0.12770450592547922,-0.2298681106658626
9,67500000.0,0.12717064797828148,-0.22890716636090666
10,75000000.0,0.12663433160207027,-0.22794179688372648
11,82500000.0,0.12609739799753197,-0.22697531639555757
12,90000000.0,0.1255599843882768,-0.22600797189889826
13,97500000.0,0.12502207315511643,-0.22503973167920957
14,105000000.0,0.12448363185139177,-0.2240705373325052
15,112500000.0,0.12394462623144775,-0.22310032721660597
16,120000000.0,0.12340502061262751,-0.22212903710272952
17,127500000.0,0.12286345243822638,-0.2211542143888075
18,135000000.0,0.12232253728971129,-0.22018056712148032
19,142500000.0,0.12178097837653998,-0.21920576107777195
20,150000000.0,0.12123759201493267,-0.21822766562687881
21,157500000.0,0.12069351150845867,-0.2172483207152256
22,165000000.0,0.12014872421236399,-0.21626770358225517
23,172500000.0,0.11960242278390948,-0.21528436101103707
24,180000000.0,0.11905604239446015,-0.21430087631002825
25,187500000.0,0.11850764168625495,-0.21331375503525893
26,195000000.0,0.11795891624035108,-0.21232604923263196
27,202500000.0,0.11740844581122467,-0.2113352024602044
28,210000000.0,0.11685705085193765,-0.21034269153348778
29,217500000.0,0.11630412618175744,-0.2093474271271634
30,225000000.0,0.11574989262141927,-0.2083498067185547
31,232500000.0,0.1151938593901953,-0.20734894690235156
32,240000000.0,0.11463580484180366,-0.2063444487152466
33,247500000.0,0.1140749227754244,-0.20533486099576392
34,255000000.0,0.11350850992400079,-0.20431531786320142
35,262500000.0,0.1129218517987361,-0.20325933323772497
36,270000000.0,0.11205482264180283,-0.2016986807552451
37,277500000.0,0.11120252797139625,-0.20016455034851324
38,285000000.0,0.11072577191700927,-0.1993063894506167
39,292500000.0,0.11018084354670324,-0.19832551838406584
40,300000000.0,0.10961969255623003,-0.19731544660121406
41,307500000.0,0.10905990861798145,-0.19630783551236664
42,315000000.0,0.10848607672594403,-0.19527493810669924
43,322500000.0,0.10792039569428712,-0.1942567122497168
44,330000000.0,0.10734843534662765,-0.19322718362392977
45,337500000.0,0.10676633548087391,-0.19217940386557306
46,345000000.0,0.10618662663137382,-0.19113592793647288
47,352500000.0,0.10560507693537828,-0.19008913848368092
48,360000000.0,0.10502167109076146,-0.18903900796337064
49,367500000.0,0.1044353908565186,-0.18798370354173347
50,375000000.0,0.10383914005958515,-0.18691045210725327
51,382500000.0,0.10324475932209931,-0.18584056677977875
52,390000000.0,0.10264819387671845,-0.1847667489780932
53,397500000.0,0.10204836058029107,-0.18368704904452393
54,405000000.0,0.10144485096569039,-0.1826007317382427
55,412500000.0,0.10083041562354778,-0.181494748122386
56,420000000.0,0.10021691481289327,-0.1803904466632079
